,station_id,bikes_available,docks_available,time
1046098,6,11,4,2013/09/01 16:24:02
1054225,6,10,5,2013/09/08 00:28:01
1054271,6,12,3,2013/09/08 01:22:01
1202534,6,6,8,2013/12/21 09:54:02
1261857,6,7,7,2014/01/31 18:24:02
1261989,6,9,5,2014/01/31 20:36:02
1262086,6,8,6,2014/01/31 22:15:02
1284400,6,4,10,2014/02/16 10:12:02
1294459,6,5,9,2014/02/23 10:48:03
1302451,7,0,15,2013/08/29 12:06:01
1302480,7,2,13,2013/08/29 12:40:02
1302482,7,3,12,2013/08/29 12:42:04
1302483,7,5,10,2013/08/29 12:43:01
1302484,7,6,9,2013/08/29 12:44:01
1302485,7,7,8,2013/08/29 12:45:02
1302488,7,8,7,2013/08/29 12:48:01
1303792,7,4,11,2013/08/30 13:10:02
1303902,7,9,6,2013/08/30 15:05:01
1304080,7,11,4,2013/08/30 18:29:01
1304153,7,10,5,2013/08/30 19:48:01
1310668,7,12,3,2013/09/04 21:10:01
1329315,7,1,14,2013/09/18 16:56:03
1332553,7,13,2,2013/09/20 23:51:01
1332555,7,14,1,2013/09/20 23:53:02
1492170,7,5,9,2014/01/10 18:47:02
1509053,7,8,6,2014/01/22 12:11:02
1509058,7,9,5,2014/01/22 12:16:03
1509199,7,10,4,2014/01/22 14:37:02
1509274,7,7,7,2014/01/22 15:52:01
1509450,7,11,3,2014/01/22 18:48:02
1518809,7,8,4,2014/01/29 07:26:03
1518836,7,7,5,2014/01/29 07:53:02
1524642,7,6,8,2014/02/02 08:44:02
1524645,7,6,7,2014/02/02 08:47:02
1562941,8,8,7,2013/08/29 12:06:01
1562986,8,9,6,2013/08/29 12:57:01
1563045,8,7,8,2013/08/29 14:03:01
1563282,8,4,11,2013/08/29 18:23:01
1563328,8,6,9,2013/08/29 19:15:01
1564201,8,5,10,2013/08/30 11:37:01
1564220,8,3,12,2013/08/30 12:01:01
1564232,8,4,2,2013/08/30 12:15:01
1564235,8,3,3,2013/08/30 12:18:02
1564237,8,6,0,2013/08/30 12:21:01
1564250,8,5,1,2013/08/30 12:36:01
1564262,8,10,5,2013/08/30 12:49:01
1564558,8,11,4,2013/08/30 18:15:01
1564575,8,12,3,2013/08/30 18:34:01
1567248,8,2,13,2013/09/01 19:35:01
1593761,8,13,2,2013/09/21 12:01:02
1610182,8,0,15,2013/10/03 05:22:02
1682385,8,9,4,2013/11/22 20:15:03
1682701,8,8,5,2013/11/23 01:31:02
1682702,8,7,6,2013/11/23 01:32:03
1682705,8,6,7,2013/11/23 01:35:02
1682706,8,5,8,2013/11/23 01:36:03
1683121,8,9,5,2013/11/23 08:31:02
1724461,8,14,1,2013/12/22 01:41:02
1742742,8,6,8,2014/01/03 18:25:02
1742770,8,7,7,2014/01/03 18:53:02
1823431,9,7,8,2013/08/29 12:06:01
1823439,9,8,7,2013/08/29 12:15:01
1823511,9,6,9,2013/08/29 13:37:01
1823518,9,5,10,2013/08/29 13:44:02
1823527,9,4,11,2013/08/29 13:54:01
1823682,9,9,6,2013/08/29 16:44:01
1825050,9,3,12,2013/08/30 18:18:01
1834055,9,10,5,2013/09/06 17:43:01
1844502,9,2,13,2013/09/14 15:27:02
1844505,9,1,14,2013/09/14 15:30:01
1844746,9,11,4,2013/09/14 19:33:01
1849731,9,12,3,2013/09/18 07:27:01
1850263,9,13,2,2013/09/18 16:24:01
1897698,9,14,1,2013/10/22 07:29:02
1914431,9,0,15,2013/11/03 02:00:01
2024618,9,4,10,2014/01/18 17:57:02
2083920,10,8,7,2013/08/29 12:06:01
2083929,10,7,8,2013/08/29 12:16:02
2084038,10,9,6,2013/08/29 14:19:01
2084062,10,10,5,2013/08/29 14:44:02
2084179,10,11,4,2013/08/29 16:53:01
2084217,10,12,3,2013/08/29 17:33:01
2084358,10,13,2,2013/08/29 20:12:03
2085133,10,14,1,2013/08/30 10:47:02
2085547,10,5,10,2013/08/30 18:27:01
2085887,10,4,11,2013/08/31 00:42:02
2086394,10,3,12,2013/08/31 10:04:01
2086471,10,6,9,2013/08/31 11:27:01
2087989,10,2,13,2013/09/01 15:07:01
2087991,10,1,14,2013/09/01 15:10:01
2160258,10,6,8,2013/10/23 18:01:02
2166966,10,3,11,2013/10/28 11:57:01
2166974,10,4,10,2013/10/28 12:05:01
2167021,10,2,12,2013/10/28 12:52:01
2174920,10,0,15,2013/11/03 02:00:01
2303367,10,4,9,2014/01/31 10:56:02
2310857,10,5,9,2014/02/05 15:51:02
2310859,10,6,7,2014/02/05 15:53:03
2319310,10,11,3,2014/02/11 12:44:02
2319326,10,12,2,2014/02/11 13:00:03
2319403,10,13,1,2014/02/11 14:17:02
2319498,10,14,0,2014/02/11 15:52:02
2330960,10,7,6,2014/02/19 15:51:03
2341159,10,7,7,2014/02/26 17:50:02
2344409,11,9,10,2013/08/29 12:06:01
2344413,11,10,9,2013/08/29 12:10:01
2344452,11,11,8,2013/08/29 12:55:01
2344680,11,8,11,2013/08/29 17:05:01
2344752,11,7,12,2013/08/29 18:25:01
2346039,11,12,7,2013/08/30 18:30:01
